"Shop Now","Achetez maintenant"
"Login","Connexion"
"Quantity","Quantité"
"Add to shopping cart","Ajouter au panier"
"Find your store","TROUVEZ VOTRE MAGASIN"
"%s was added to your shopping cart.","%s a été ajouté à votre panier."
"Update Shopping Cart","METTRE À JOUR SON PANIER"
"Clear Shopping Cart","VENTE PANIER"
"Discount Codes","Codes de réduction"
"Mage_Sales::Subtotal","Total"
"Mage_Sales::Grand Total","Somme Finale"
"Proceed to Checkout","Passer à la caisse"
"Please note that local customary charge may occur outside of EU.","Veuillez noter que les frais habituels locaux peuvent être facturés hors de l'UE."
"Checkout","CHECK-OUT"
"Mage_Sales::LOGIN","Connexion"
"Login to your Account","Connectez-vous à votre compte"
"1. Name & Address","1. NOM ET ADRESSE"
"Company","Compagnie"
"Zip","Code postal"
"Create an account for later use","Créer un compte pour une utilisation ultérieure"
"2. Shipping Method","2. MÉTHODE D'EXPÉDITION"
"Enter your coupon code:","Entrez votre code promo:"
"Coupon code is not valid.","Le code de coupon n'est pas valide."
"3. Payment Method","3. MODE DE PAIEMENT"
"Place Order Now","Faites votre commande"
"Review Your Order","Vérifiez votre commande"
"Mage_Checkout::Subtotal","Total"
"Mage_Checkout::Grand Total","Somme Finale"
"Grand Total","Somme Finale"
"Shopping Cart is Empty","LE PANIER D'ACHAT EST VIDE"
"You have no items in your shopping cart.","Vous n'avez aucun article dans votre panier."
"Click <a href=""%s"">here</a> to continue shopping.","Cliquer <a href=""%s"">ici</a> pour poursuivre vos achats."
"Invalid login or password.","Nom d'utilisateur ou mot de passe incorrect."
"Edit Account Information","Modifier les informations du compte"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","À partir de votre tableau de bord Mon compte, vous avez la possibilité d'afficher un instantané de l'activité récente de votre compte et de mettre à jour les informations de votre compte. Sélectionnez un lien ci-dessous pour afficher ou modifier des informations."
"Ship To","Envoyez à"
"Date","La Date"
"Address Book","Carnet d'adresses"
"Default Shipping Address","Adresse de livraison par défaut"
"Last Ordered Items","Derniers articles commandés"
"Contact Information","Informations de contact"
"My Dashboard","Mon tableau de bord"
"Logout","Connectez - Out"
"Sign up for this watch","Inscrivez-vous à cette montre"
"Please send me an e-mail when this watch is available for purchase.","S'il vous plaît envoyez-moi un e-mail lorsque cette montre est disponible à l'achat."
"Enter the code above here","Entrez le code ci-dessus ici"
"Click <a href=""%s"">here</a> to refresh image.","Cliquez <a href=""%s"">ici</a> pour actualiser l'image."
"Marked fields are required.","Les champs marqués sont obligatoires."
