"Our Story","KNUT GADDについて"
"FAQ","よくあるご質問"
"Quantity","数量"
"Clear Shopping Cart","カートを空にする"
"Update Shopping Cart","カートを更新する"
"Login","ログイン"
"Login or Create an Account","ログイン & 新規登録"
"New Customers","新規登録"
"Registered Customers","会員登録がお済みのお客様"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","会員登録でお支払い、複数の送り先住所の登録がより早くできます。また注文履歴の確認、追跡なども可能になります"
"If you have an account with us, please log in.","アカウントをお持ちの場合はログインしてください"
"LOGIN","ログイン"
"Create an account for later use","上記の情報を会員登録に使用する"
"Enter your coupon code:","クーポンコード"
"Sign Up for Newsletter","ニュースレターご購読はEメールアドレスをご入力ください"
"Place Order Now","注文する"
"Review Your Order","注文を確認する"
"%s was added to your shopping cart.","%s カートに商品が追加されました"
"Your e-mail address","Eメールアドレスを入力"
"Sign up","サインアップ"
"<span>0</span> items in cart","<span>0</span> カート"
"<span>1</span> item in cart","<span>1</span> カート"
"<span>%s</span> items in cart","<span>%s</span> カート"
"Find your store","ショップリスト"
"Shop Now","購入する"
"Add to shopping cart","カートに追加する"
"VAT Incl. %s","バット込み %s"
"Please note that local customary charge may occur outside of EU.","EU以外への発送は関税がかかる場合もあります"
"1. Name & Address","1.お客様情報"
"2. Shipping Method","2.配送方法"
"3. Payment Method","3.お支払方法"
"Login","ログイン"
"Shopping Cart is Empty","カートは空です"
"Apply","入力"
"Terms of Use","特定商取引法"
"Contact Us","お問合せ"
"Privacy Policy","プライバシーポリシー"
"Follow Us","フォローする"
"<span>Create an Account</span>","<span>新規登録をする</span>"
"Email Address","Eメールアドレス"
"Password","パスワード"
"* Required Fields","＊この項目は入力が必須です"
"Forgot Your Password?","パスワードをお忘れの場合"
"Click here to continue shopping","ショッピングを続ける"
"You have no items in your shopping cart.","カートには商品がございません"
"Product name","商品名"
"Comment","備考"
"Express shipping","エキスプレス シッピング"
"Delivery time up to 5 working days","5営業日以内にお届け"
"Free shipping","送料無料"
"Delivery time up to 10 working days","10営業日以内にお届け"
"First Name","名字"
"Last Name","名前"
"Company","会社"
"E-mail Address","Eメールアドレス"
"Address","住所"
"City","市区町村"
"State / Province","番地"
"Zip","郵便番号"
"Country","国"
"Telephone","電話番号"
"Checkout","購入"
"Proceed to checkout","購入手続き"
"Grand Total","合計"
"Subtotal","小計"
"Discount Codes","ディスカウントコード"
"Continue Shopping","ショッピングを続ける"
"Login to your Account","ログイン & 新規登録"
"Sign up for this watch","この商品を登録しますか"







