"[STORE VIEW]","[STORE VIEW]"
"[WEBSITE]","[WEBSITE]"
"[GLOBAL]","[GLOBAL]"
"Discount","Discount"
"Fixed","Fixed"
"Percent","Percent"
"Yes","Yes"
"No","No"
"Zip/Postal Code is Range","Zip/Postal Code is Range"
"Zip/Postal Code","Zip/Postal Code"
"'*' - matches any.","'*' - matches any."
"Zip/Postal Code From","Zip/Postal Code From"
"Zip/Postal Code To","Zip/Postal Code To"
"Amount","Amount"
"Apply","Apply"
"Submit","Submit"
"Add Discount","Add Discount"
"Action","Action"
"Edit","Edit"
"Delete","Delete"
"Are you sure you want to delete discount?","Are you sure you want to delete discount?"
"Zone Discounts","Zone Discounts"
"Compound Price","Compound Price"
"Compound Special Price","Compound Special Price"
"Compound Discount Amount","Compound Discount Amount"
"Stores","Stores"
"Currencies","Currencies"
"Store View","Store View"
"Duplicate website tier price store, customer group, quantity and currency.","Duplicate website tier price store, customer group, quantity and currency."
"Duplicate website tier price store, customer group and quantity.","Duplicate website tier price store, customer group and quantity."
"Duplicated discount.","Duplicated discount."
"Zone Discounts","Zone Discounts"
"Stores must be specified.","Stores must be specified."
"Currencies must be specified.","Currencies must be specified."
"The discount was not found.","The discount was not found."
"The discount has been saved.","The discount has been saved."
"An error occurred while saving the discount: %s.","An error occurred while saving the discount: %s."
"The discount was not found.","The discount was not found."
"The discount has been deleted.","The discount has been deleted."
"Currency","Currency"
"Price","Price"
"Default Price","Default Price"
"Recalculate By","Recalculate By"
"+","+"
"Default Amount","Default Amount"
"Default","Default"
