"Klarna checkout is not available for %s, country was changed to %s.","Klarna checkout is not available for %s, country was changed to %s."
"Checkout was reloaded.","Checkout was reloaded."
"The Klarna Checkout is not enabled, please use an alternative checkout method.","The Klarna Checkout is not enabled, please use an alternative checkout method."
"The Klarna Checkout is NOT available (no allowed country), please use an alternative checkout method.","The Klarna Checkout is NOT available (no allowed country), please use an alternative checkout method."
"The cart has no items (or has errors).","The cart has no items (or has errors)."
"Subtotal must exceed minimum order amount.","Subtotal must exceed minimum order amount."
"Country is not set.","Country is not set."
"Klarna Checkout is not available for country (%s).","Klarna Checkout is not available for country (%s)."
"Klarna Checkout requires the currency to be %s but is not available, please use an alternative checkout.","Klarna Checkout requires the currency to be %s but is not available, please use an alternative checkout."
"Currency was changed to %s (cannot use %s for  %s).","Currency was changed to %s (cannot use %s for  %s)."
"Invalid country (%s)","Invalid country (%s)"
"Checkout incomplete, missing reservation.","Checkout incomplete, missing reservation."
"Checkout incomplete, no items.","Checkout incomplete, no items."
"Checkout incomplete, missing shipping_address.","Checkout incomplete, missing shipping_address."
"Checkout incomplete, missing billing_address.","Checkout incomplete, missing billing_address."
"Subscription for guests is not allowed.","Subscription for guests is not allowed."
"There already is a user subscribed with this email.","There already is a user subscribed with this email."
"Cannot cancel Klarna Reservation %s.","Cannot cancel Klarna Reservation %s."
"Klarna reservation %s was CANCELED.","Klarna reservation %s was CANCELED."
"Klarna reservation %s cannot be detached. You have %s pending invoice(s).","Klarna reservation %s cannot be detached. You have %s pending invoice(s)."
"Klarna reservation %s was detached from the order.<br />All (Klarna) payment operations from now on (activating the order, invoicing etc.) have to be performed offline (on the Klarna Site).<br />","Klarna reservation %s was detached from the order.<br />All (Klarna) payment operations from now on (activating the order, invoicing etc.) have to be performed offline (on the Klarna Site).<br />"
"Authorize action is not available.","Authorize action is not available."
"Klarna Reservation %s was CREATED.","Klarna Reservation %s was CREATED."
"The Klarna order cannot be activated: %s.","The Klarna order cannot be activated: %s."
"Klarna Reservation %s was ACTIVATED; Risk: %s","Klarna Reservation %s was ACTIVATED; Risk: %s"
"Refund action is not available.","Refund action is not available."
"Unknown transaction.","Unknown transaction."
"The Klarna order cannot be refunded: %s.","The Klarna order cannot be refunded: %s."
"Klarna Invoice %s was refunded.","Klarna Invoice %s was refunded."
"Void action is not available.","Void action is not available."
"The Klarna order cannot be canceled, %s.","The Klarna order cannot be canceled, %s."
"Country not allowed (%s).","Country not allowed (%s)."
"Invalid payment, missing reservation.","Invalid payment, missing reservation."
"Country / Currency / Language not allowed %s/%s/%s","Country / Currency / Language not allowed %s/%s/%s"
"Currency not allowed (%s, expecting %s)","Currency not allowed (%s, expecting %s)"
"Invalid country (%s, expecting %s)","Invalid country (%s, expecting %s)"
"Invalid currency (%s, expecting %s)","Invalid currency (%s, expecting %s)"
"Empty Cart","Empty Cart"
"Cart has errors, cannot checkout","Cart has errors, cannot checkout"
"Missing quote","Missing quote"
"Cannot apply coupon (%s)","Cannot apply coupon (%s)"
"Cannot initialize checkout (%s)","Cannot initialize checkout (%s)"
"Cannot initialize the Klarna Checkout (%s)","Cannot initialize the Klarna Checkout (%s)"
"Please complete the checkout","Please complete the checkout"
"Cannot place the order (%s)","Cannot place the order (%s)"
"Cannot update checkout (%s)","Cannot update checkout (%s)"
"Cannot initialize Klarna Checkout (%s)","Cannot initialize Klarna Checkout (%s)"
"The cart was updated (from another location), reloading the checkout, please wait...","The cart was updated (from another location), reloading the checkout, please wait..."
"The requested changes were not applied. The cart was updated (from another location), please review the cart.","The requested changes were not applied. The cart was updated (from another location), please review the cart."
"Invalid shipping method (%s).","Invalid shipping method (%s)."
"Coupon code is not valid (or missing)","Coupon code is not valid (or missing)"
"Coupon code ""%s"" was applied.","Coupon code ""%s"" was applied."
"Coupon code ""%s"" is not valid.","Coupon code ""%s"" is not valid."
"Coupon code was canceled.","Coupon code was canceled."
"Cannot remove the item.","Cannot remove the item."
"Invalid item.","Invalid item."
"Invalid country","Invalid country"
"Discount(s)","Discount(s)"
"Klarna Order ID:","Klarna Order ID:"
"Klarna Order ID: %s","Klarna Order ID: %s"
"Coupon","Coupon"
"Remove Coupon","Remove Coupon"
"Code","Code"
"Apply","Apply"
"Coupon Code","Coupon Code"
"Sorry, no quotes are available for this order at this time.","Sorry, no quotes are available for this order at this time."
"Incl. Tax","Incl. Tax"
"Remove This Item","Remove This Item"
"Are you sure you would like to remove this item from the shopping cart?","Are you sure you would like to remove this item from the shopping cart?"
"Edit item","Edit item"
"See price before order confirmation.","See price before order confirmation."
"Total incl. tax","Total incl. tax"
"Details","Details"
"Klarna Checkout","Klarna Checkout"
"Back to &raquo;&raquo;<br />Klarna Checkout","Back to &raquo;&raquo;<br />Klarna Checkout"
"Newsletter","Newsletter"
"Sign Up for Our Newsletter","Sign Up for Our Newsletter"
"Country","Country"
"not available with Klarna","not available with Klarna"
"Cart","Cart"
"products","products"
"You have no items in your shopping cart.","You have no items in your shopping cart."
"An error occurred in klarna checkout process","An error occurred in klarna checkout process"
"Order #","Order #"
"Click <a href=""%s"">here</a> to retry.","Click <a href=""%s"">here</a> to retry."
"Click <a href=""%s"">here</a> to continue shopping.","Click <a href=""%s"">here</a> to continue shopping."
"Shipping method","Shipping method"
"Retry","Retry"
"Terms of Use","Terms of Use"
"I agree with","I agree with"
"Shipping Fee (%s)","Shipping Fee (%s)"
"Correction / Other(s)","Correction / Other(s)"
"Discount (%s)","Discount (%s)"
"Quote was updated, please review it (check shipping amount, products)","Quote was updated, please review it (check shipping amount, products)"
"Please review the order and retry to place it, the previous order was CANCELED.","Please review the order and retry to place it, the previous order was CANCELED."
"The previous order will be CANCELED.","The previous order will be CANCELED."
"Missing date of birth, please review your information (you need to be at least %s years old)","Missing date of birth, please review your information (you need to be at least %s years old)"
"Invalid date of birth [%s], please review your information (you need to be at least %s years old)","Invalid date of birth [%s], please review your information (you need to be at least %s years old)"
"You need to be at least %s years old (your date of birth: [%s], age: [%s])","You need to be at least %s years old (your date of birth: [%s], age: [%s])"
